Id;Hora de inicio;Hora de finalización;Correo electrónico;Nombre;Campaña o Proyecto;Campaña o Proyecto1;Estrategia llevada a cabo;Institución o Lugar físico ;Municipio o comuna;Dirección;Fecha de la actividad;Duración de la actividad;Cantidad de personas;Grupo etario;Temática tratada;Descripción de la actividad
10;46076,39501;46076,39916;anónimo;;Vínculos Preventivos;;Asesoramiento al ciudadano;Oficina;SMT;25 de Mayo 90;21/01/2026;1,00;4;Adultos jóvenes;Estafas Digitales;El día de la fecha se acercaron dos mujeres de Banda del Río Salí para solicitar asesoramiento porque una de ellas fue víctima se una estafa digital. Se la asesoró sobre el procedimiento para poder recuperar el control de su cuenta bancaria.
11;46077,47659;46077,48547;anónimo;;Juntos es más Seguro;;Reunión de planificación;Oficina;SMT;25 de mayo 90;02/02/2026;1,00;3;Adultos jóvenes;Cultura Ciudadana;El dia de la fecha se realizo una reunión en nuestra oficina en casa de gobierno con Caro Lopez Florez. En la reunión se planificaron actividades con chicos de un club de ajedrez y y estrategias de formacion a traves de escuela de ciudadania para una fundación. 
12;46077,48551;46077,48926;anónimo;;Docentes Conectados;;Reunión de planificación;IDEP;SMT;Virgen de la Merced 141;05/02/2026;1,50;6;Adultos jóvenes;Ciudadanía Digital;José Farhat, secretario de Estado de Participación Ciudadana del Ministerio de Seguridad, fue convocado por Juan Casañas, vicepresidente del IDEP, y por Maximiliano Martínez Márquez, director ejecutivo del organismo, con el propósito de delinear estrategias orientadas a una planificación de trabajo conjunto. Dichas acciones buscan dar continuidad a las iniciativas desarrolladas durante 2025 y generar nuevas herramientas destinadas  al fortalecimiento de políticas públicas de innovación.
13;46077,48929;46077,49416;anónimo;;Juntos es más Seguro;;Reunión de planificación;Secretaría de Juventud;SMT;Catamarca 432;11/02/2026;1,50;4;Adultos jóvenes;"Ciudadanía Digital;Cultura Ciudadana;Cultura de Prevención";Reunión para continuar trabajando en conjunto en este año con acciones dedicadas a los NNyA de Tucumán a través de distintas estrategias con respecto a la cultura de prevención, cultura ciudadana y la ciudadanía digital.
14;46077,49434;46077,49669;anónimo;;Escuela de Ciudadanía ;;Reunión de planificación;Oficina;SMT;25 de Mayo 90;13/02/2026;1,50;6;Adultos jóvenes;Ciudadanía Digital;Se realizó una reunión con personal del Ministerio de Salud para planificar y continuar las actividades articuladas en este año.
15;46077,49671;46077,49883;anónimo;;Juntos es más Seguro;;Reunión de planificación;Ministerio de Educación;SMT;Sarmiento 850;19/02/2026;2,00;4;Adultos jóvenes;"Ciudadanía Digital;Cultura de Prevención";"José Farhat, secretario de Estado de Participación Ciudadana del Ministerio de Seguridad, mantuvo una reunión de coordinación y planificación interministerial con la prof. Gabriela Gallardo, secretaria de Estado de Educación, y con Rosa Casares, directora de Educación Secundaria del Ministerio de Educación.

El encuentro tuvo como objetivo dar continuidad al trabajo colaborativo desarrollado en años anteriores y profundizar las acciones en materia de prevención en entornos digitales y ciudadanía digital, a través del programa Seguridad Inteligente y la Escuela de Ciudadanía de la Secretaría de Participación Ciudadana."
16;46077,50059;46077,50281;anónimo;;Docentes Conectados;;Reunión de planificación;Oficina;SMT;25 de Mayo 90;20/02/2026;2,00;10;Adultos jóvenes;"Ciudadanía Digital;Cultura de Prevención;Alfabetización Digital, Mediática e Informacional";"Soy la subdirectora de formación docente continua del Ministerio de Educación .
Le cuento : tengo un dispositivo pensado para trabajar una propuesta de formación docente  relacionada con Protección digital infantil . Y me gustaría ver si podemos articular entre ambos ministerios y contar con la participación de Uds"
